metric_id,timestamp,date,hour,revenue,transaction_count,signup_count,active_users,is_anomaly,anomaly_type
1,2024-01-01 00:00:00,2024-01-01,0,16902.34,200,21,1104,false,Normal
2,2024-01-01 01:00:00,2024-01-01,1,14708.3,177,15,1062,false,Normal
3,2024-01-01 02:00:00,2024-01-01,2,12385.47,191,19,955,false,Normal
4,2024-01-01 03:00:00,2024-01-01,3,14338.36,171,15,1088,false,Normal
5,2024-01-01 04:00:00,2024-01-01,4,14889.5,220,26,1118,false,Normal
6,2024-01-01 05:00:00,2024-01-01,5,15853.05,228,15,1059,false,Normal
7,2024-01-01 06:00:00,2024-01-01,6,16642.13,225,22,1263,false,Normal
8,2024-01-01 07:00:00,2024-01-01,7,18722.66,240,25,1395,false,Normal
9,2024-01-01 08:00:00,2024-01-01,8,19102.32,248,23,1536,false,Normal
10,2024-01-01 09:00:00,2024-01-01,9,20830.09,309,28,1779,false,Normal
11,2024-01-01 10:00:00,2024-01-01,10,21455.39,302,26,1750,false,Normal
12,2024-01-01 11:00:00,2024-01-01,11,24209.87,314,31,1902,false,Normal
13,2024-01-01 12:00:00,2024-01-01,12,25987.02,320,30,1907,false,Normal
14,2024-01-01 13:00:00,2024-01-01,13,24930.21,330,35,2059,false,Normal
15,2024-01-01 14:00:00,2024-01-01,14,24259.3,367,30,2045,false,Normal
16,2024-01-01 15:00:00,2024-01-01,15,25121.42,368,32,2000,false,Normal
17,2024-01-01 16:00:00,2024-01-01,16,24808.11,344,32,2078,false,Normal
18,2024-01-01 17:00:00,2024-01-01,17,22584.94,305,32,1798,false,Normal
19,2024-01-01 18:00:00,2024-01-01,18,21143.66,322,32,1589,false,Normal
20,2024-01-01 19:00:00,2024-01-01,19,21717.56,298,24,1726,false,Normal
21,2024-01-01 20:00:00,2024-01-01,20,18325.99,252,25,1536,false,Normal
22,2024-01-01 21:00:00,2024-01-01,21,18390.49,242,21,1486,false,Normal
23,2024-01-01 22:00:00,2024-01-01,22,17283.06,211,20,1355,false,Normal
24,2024-01-01 23:00:00,2024-01-01,23,16124.36,189,19,1223,false,Normal
25,2024-01-02 00:00:00,2024-01-02,0,13158.78,177,21,975,false,Normal
26,2024-01-02 01:00:00,2024-01-02,1,15472.83,165,14,917,false,Normal
27,2024-01-02 02:00:00,2024-01-02,2,14033.17,173,15,1008,false,Normal
28,2024-01-02 03:00:00,2024-01-02,3,13543.69,186,20,1043,false,Normal
29,2024-01-02 04:00:00,2024-01-02,4,13872.48,204,19,1129,false,Normal
30,2024-01-02 05:00:00,2024-01-02,5,16391.49,197,22,1093,false,Normal
31,2024-01-02 06:00:00,2024-01-02,6,17219.48,195,24,1251,false,Normal
32,2024-01-02 07:00:00,2024-01-02,7,16733.87,244,22,1529,false,Normal
33,2024-01-02 08:00:00,2024-01-02,8,19658.02,294,28,1435,false,Normal
34,2024-01-02 09:00:00,2024-01-02,9,21168.01,284,30,1512,false,Normal
35,2024-01-02 10:00:00,2024-01-02,10,22048.48,291,30,1765,false,Normal
36,2024-01-02 11:00:00,2024-01-02,11,23651.36,326,31,1912,false,Normal
37,2024-01-02 12:00:00,2024-01-02,12,23956.53,323,33,1947,false,Normal
38,2024-01-02 13:00:00,2024-01-02,13,24026.37,370,30,1868,false,Normal
39,2024-01-02 14:00:00,2024-01-02,14,25906.96,347,35,1952,false,Normal
40,2024-01-02 15:00:00,2024-01-02,15,23693.96,333,33,1983,false,Normal
41,2024-01-02 16:00:00,2024-01-02,16,24338.04,347,29,1789,false,Normal
42,2024-01-02 17:00:00,2024-01-02,17,23085.0,291,23,1967,false,Normal
43,2024-01-02 18:00:00,2024-01-02,18,22392.41,290,28,1880,false,Normal
44,2024-01-02 19:00:00,2024-01-02,19,21827.52,294,29,1549,false,Normal
45,2024-01-02 20:00:00,2024-01-02,20,19399.7,245,32,1421,false,Normal
46,2024-01-02 21:00:00,2024-01-02,21,17031.31,214,26,1245,false,Normal
47,2024-01-02 22:00:00,2024-01-02,22,17237.09,224,21,1437,false,Normal
48,2024-01-02 23:00:00,2024-01-02,23,15173.1,210,16,1086,false,Normal
49,2024-01-03 00:00:00,2024-01-03,0,15340.16,179,18,1118,false,Normal
50,2024-01-03 01:00:00,2024-01-03,1,14252.63,176,18,858,false,Normal
51,2024-01-03 02:00:00,2024-01-03,2,13776.39,195,23,1052,false,Normal
52,2024-01-03 03:00:00,2024-01-03,3,14310.34,185,15,1089,false,Normal
53,2024-01-03 04:00:00,2024-01-03,4,15459.12,182,14,1099,false,Normal
54,2024-01-03 05:00:00,2024-01-03,5,16618.84,196,21,1177,false,Normal
55,2024-01-03 06:00:00,2024-01-03,6,17541.02,227,19,1313,false,Normal
56,2024-01-03 07:00:00,2024-01-03,7,17837.75,239,26,1232,false,Normal
57,2024-01-03 08:00:00,2024-01-03,8,20190.88,243,24,1590,false,Normal
58,2024-01-03 09:00:00,2024-01-03,9,21884.9,268,24,1515,false,Normal
